id	icecream_van_id	latitude	longitude	velocity	created_at
439706163	91	51.1727965	4.1326887	0	2026-04-30 12:29:37
439706178	91	51.1725846	4.1329925	6.74553108215332	2026-04-30 12:29:38
439706302	91	51.17258	4.133007	2.0600976943969727	2026-04-30 12:29:49
439706314	91	51.1725898	4.1329959	1.347144365310669	2026-04-30 12:29:50
439706328	91	51.1725933	4.1329896	1.7906272411346436	2026-04-30 12:29:51
439706348	91	51.1725932	4.1329893	1.8102920055389404	2026-04-30 12:29:53
439706363	91	51.1725803	4.133029	3.437654733657837	2026-04-30 12:29:54
439706374	91	51.1725792	4.1330582	1.62994384765625	2026-04-30 12:29:55
439706388	91	51.1725779	4.1330625	1.1614900827407837	2026-04-30 12:29:56
439706398	91	51.1725775	4.1330539	1.152833342552185	2026-04-30 12:29:57
439706420	91	51.1725688	4.1330406	1.7182234525680542	2026-04-30 12:29:59
439706442	91	51.1725335	4.1330098	1.8580724000930786	2026-04-30 12:30:01
439706450	91	51.1724658	4.1328951	2.138075113296509	2026-04-30 12:30:02
439706464	91	51.1723632	4.1327445	1.8584023714065552	2026-04-30 12:30:03
439706473	91	51.1723154	4.1326872	1.7142823934555054	2026-04-30 12:30:04
439706478	91	51.1722819	4.1326521	1.7073588371276855	2026-04-30 12:30:05
439707042	91	51.1726306	4.1329268	0	2026-04-30 12:30:51
439710210	91	51.172503	4.1329466	0.6375266313552856	2026-04-30 12:35:06
439710717	91	51.1725719	4.132965	0	2026-04-30 12:35:52
439713821	91	51.1725509	4.1329666	0.23787398636341095	2026-04-30 12:40:07
439714376	91	51.1725706	4.1329707	0	2026-04-30 12:40:53
439717384	91	51.1725651	4.1329382	0.1901981234550476	2026-04-30 12:45:08
439717873	91	51.1725698	4.1329742	0	2026-04-30 12:45:53
439721002	91	51.172553	4.1329601	0.22698429226875305	2026-04-30 12:50:08
439721620	91	51.1725689	4.1329784	0	2026-04-30 12:50:53
439722628	91	51.1725786	4.1329482	1.909999966621399	2026-04-30 12:51:57
